lat,lon,type
40.65221,-74.091073,4
40.65221,-73.874108,4
40.661774,-74.103127,4
40.661774,-74.091073,4
40.661774,-74.018751,4
40.661774,-73.910269,4
40.661774,-73.862055,4
40.671338,-74.103127,4
40.671338,-73.982591,4
40.671338,-73.898215,4
40.680902,-74.11518,4
40.680902,-74.103127,4
40.680902,-73.898215,4
40.680902,-73.886162,4
40.690466,-74.11518,4
40.690466,-74.103127,4
40.690466,-74.006698,4
40.690466,-73.910269,4
40.690466,-73.874108,4
40.690466,-73.801787,4
40.690466,-73.729465,4
40.70003,-74.11518,4
40.70003,-74.103127,4
40.70003,-73.922323,4
40.70003,-73.801787,4
40.70003,-73.789733,4
40.70003,-73.777679,4
40.709594,-74.11518,4
40.709594,-74.103127,4
40.709594,-73.970537,4
40.709594,-73.789733,4
40.709594,-73.777679,4
40.709594,-73.765626,4
40.709594,-73.729465,4
40.719158,-74.11518,4
40.719158,-74.103127,4
40.719158,-73.970537,4
40.719158,-73.922323,4
40.719158,-73.862055,4
40.719158,-73.729465,4
40.728722,-74.127234,4
40.728722,-74.11518,4
40.728722,-74.103127,4
40.728722,-74.030805,4
40.728722,-73.970537,4
40.728722,-73.81384,4
40.738286,-74.127234,4
40.738286,-74.11518,4
40.738286,-73.994644,4
40.738286,-73.970537,4
40.747849,-74.127234,4
40.747849,-74.11518,4
40.757413,-74.127234,4
40.757413,-74.018751,4
40.757413,-73.837947,4
40.757413,-73.789733,4
40.757413,-73.693304,4
40.757413,-73.681251,4
40.757413,-73.669197,4
40.757413,-73.657143,4
40.757413,-73.64509,4
40.757413,-73.633036,4
40.766977,-74.042859,4
40.766977,-73.970537,4
40.766977,-73.958483,4
40.766977,-73.693304,4
40.766977,-73.681251,4
40.766977,-73.669197,4
40.766977,-73.657143,4
40.766977,-73.64509,4
40.766977,-73.633036,4
40.766977,-73.620983,4
40.776541,-74.066966,4
40.776541,-73.970537,4
40.776541,-73.958483,4
40.776541,-73.94643,4
40.776541,-73.681251,4
40.776541,-73.669197,4
40.776541,-73.657143,4
40.776541,-73.64509,4
40.776541,-73.633036,4
40.776541,-73.620983,4
40.786105,-73.669197,4
40.786105,-73.657143,4
40.786105,-73.64509,4
40.786105,-73.633036,4
40.786105,-73.620983,4
40.795669,-73.970537,4
40.795669,-73.94643,4
40.795669,-73.910269,4
40.795669,-73.862055,4
40.795669,-73.669197,4
40.795669,-73.657143,4
40.795669,-73.64509,4
40.795669,-73.633036,4
40.795669,-73.620983,4
40.805233,-73.862055,4
40.805233,-73.850001,4
40.805233,-73.657143,4
40.805233,-73.64509,4
40.805233,-73.633036,4
40.805233,-73.620983,4
40.814797,-73.874108,4
40.814797,-73.825894,4
40.814797,-73.64509,4
40.814797,-73.633036,4
40.814797,-73.620983,4
40.824361,-73.934376,4
40.824361,-73.886162,4
40.824361,-73.850001,4
40.824361,-73.777679,4
40.824361,-73.765626,4
40.824361,-73.753572,4
40.824361,-73.64509,4
40.824361,-73.633036,4
40.824361,-73.620983,4
40.833925,-73.958483,4
40.833925,-73.94643,4
40.833925,-73.862055,4
