fatigued30,lat,lon
fatigued30, 40.747849, -73.958483 
fatigued30, 40.747849, -73.898215 
fatigued30, 40.747849, -73.850001 
fatigued30, 40.747849, -73.837947 
fatigued30, 40.747849, -73.765626 
fatigued30, 40.747849, -73.753572 
fatigued30, 40.747849, -73.741519 
fatigued30, 40.747849, -73.729465 
fatigued30, 40.757413, -74.211609 
fatigued30, 40.757413, -74.199555 
fatigued30, 40.757413, -74.127234 
fatigued30, 40.757413, -74.115180 
fatigued30, 40.757413, -74.103127 
fatigued30, 40.757413, -74.091073 
fatigued30, 40.757413, -74.079019 
fatigued30, 40.757413, -74.066966 
fatigued30, 40.757413, -74.054912 
fatigued30, 40.757413, -74.042859 
fatigued30, 40.757413, -74.030805 
fatigued30, 40.757413, -74.018751 
fatigued30, 40.757413, -74.006698 
fatigued30, 40.757413, -73.994644 
fatigued30, 40.757413, -73.982591 
fatigued30, 40.757413, -73.970537 
fatigued30, 40.757413, -73.946430 
fatigued30, 40.757413, -73.898215 
fatigued30, 40.757413, -73.850001 
fatigued30, 40.757413, -73.837947 
fatigued30, 40.757413, -73.753572 
fatigued30, 40.757413, -73.741519 
fatigued30, 40.757413, -73.729465 
fatigued30, 40.757413, -73.717411 
fatigued30, 40.766977, -74.211609 
fatigued30, 40.766977, -74.199555 
fatigued30, 40.766977, -74.187502 
fatigued30, 40.766977, -74.139287 
fatigued30, 40.766977, -74.127234 
fatigued30, 40.766977, -74.115180 
fatigued30, 40.766977, -74.103127 
fatigued30, 40.766977, -74.091073 
fatigued30, 40.766977, -74.079019 
fatigued30, 40.766977, -74.066966 
fatigued30, 40.766977, -74.054912 
fatigued30, 40.766977, -74.042859 
fatigued30, 40.766977, -74.030805 
fatigued30, 40.766977, -74.018751 
fatigued30, 40.766977, -74.006698 
fatigued30, 40.766977, -73.994644 
fatigued30, 40.766977, -73.922323 
fatigued30, 40.766977, -73.898215 
fatigued30, 40.766977, -73.886162 
fatigued30, 40.766977, -73.874108 
fatigued30, 40.766977, -73.850001 
fatigued30, 40.766977, -73.753572 
fatigued30, 40.766977, -73.729465 
fatigued30, 40.766977, -73.717411 
fatigued30, 40.776541, -74.211609 
fatigued30, 40.776541, -74.151341 
fatigued30, 40.776541, -74.139287 
fatigued30, 40.776541, -74.127234 
fatigued30, 40.776541, -74.115180 
fatigued30, 40.776541, -74.103127 
fatigued30, 40.776541, -74.091073 
fatigued30, 40.776541, -74.079019 
fatigued30, 40.776541, -74.066966 
