lat,lon,type
40.690466,-73.681251,2
40.690466,-73.669197,2
40.690466,-73.657143,2
40.70003,-74.091073,2
40.70003,-74.079019,2
40.70003,-73.934376,2
40.70003,-73.910269,2
40.70003,-73.886162,2
40.70003,-73.693304,2
40.70003,-73.681251,2
40.70003,-73.669197,2
40.709594,-74.091073,2
40.709594,-73.958483,2
40.709594,-73.910269,2
40.709594,-73.886162,2
40.709594,-73.862055,2
40.709594,-73.717411,2
40.709594,-73.705358,2
40.709594,-73.693304,2
40.709594,-73.681251,2
40.719158,-73.994644,2
40.719158,-73.898215,2
40.719158,-73.837947,2
40.719158,-73.81384,2
40.719158,-73.789733,2
40.719158,-73.717411,2
40.719158,-73.705358,2
40.719158,-73.693304,2
40.728722,-74.187502,2
40.728722,-74.018751,2
40.728722,-73.910269,2
40.728722,-73.886162,2
40.728722,-73.874108,2
40.728722,-73.850001,2
40.728722,-73.801787,2
40.728722,-73.777679,2
40.728722,-73.753572,2
40.738286,-74.054912,2
40.738286,-74.042859,2
40.738286,-74.030805,2
40.738286,-74.018751,2
40.738286,-73.850001,2
40.738286,-73.837947,2
40.738286,-73.81384,2
40.738286,-73.801787,2
40.738286,-73.741519,2
40.747849,-74.103127,2
40.747849,-74.091073,2
40.747849,-74.042859,2
40.747849,-74.030805,2
40.747849,-74.018751,2
40.747849,-74.006698,2
40.747849,-73.982591,2
40.747849,-73.934376,2
40.747849,-73.886162,2
40.747849,-73.850001,2
40.747849,-73.837947,2
40.747849,-73.765626,2
40.747849,-73.753572,2
40.747849,-73.741519,2
40.747849,-73.729465,2
40.757413,-74.11518,2
40.757413,-74.103127,2
40.757413,-74.091073,2
40.757413,-74.079019,2
40.757413,-74.066966,2
40.757413,-74.054912,2
40.757413,-74.042859,2
40.757413,-74.030805,2
40.757413,-74.006698,2
40.757413,-73.994644,2
40.757413,-73.958483,2
40.757413,-73.850001,2
40.757413,-73.825894,2
40.757413,-73.777679,2
40.757413,-73.741519,2
40.757413,-73.729465,2
40.757413,-73.717411,2
40.766977,-74.127234,2
40.766977,-74.11518,2
40.766977,-74.103127,2
40.766977,-74.091073,2
40.766977,-74.079019,2
40.766977,-74.066966,2
40.766977,-74.054912,2
40.766977,-74.030805,2
40.766977,-74.018751,2
40.766977,-74.006698,2
40.766977,-73.94643,2
40.766977,-73.934376,2
40.766977,-73.922323,2
40.766977,-73.862055,2
40.766977,-73.825894,2
40.766977,-73.753572,2
40.766977,-73.717411,2
40.766977,-73.705358,2
40.776541,-74.139287,2
40.776541,-74.127234,2
40.776541,-74.11518,2
40.776541,-74.103127,2
40.776541,-74.091073,2
40.776541,-74.079019,2
40.776541,-74.054912,2
40.776541,-74.042859,2
40.776541,-74.030805,2
40.776541,-74.018751,2
40.776541,-74.006698,2
40.776541,-73.874108,2
40.776541,-73.837947,2
40.776541,-73.765626,2
40.776541,-73.753572,2
40.776541,-73.741519,2
40.776541,-73.729465,2
40.776541,-73.717411,2
40.776541,-73.705358,2
40.776541,-73.693304,2
40.786105,-74.151341,2
40.786105,-74.139287,2
40.786105,-74.127234,2
40.786105,-74.11518,2
40.786105,-74.103127,2
40.786105,-74.091073,2
40.786105,-74.079019,2
40.786105,-74.066966,2
40.786105,-74.054912,2
40.786105,-74.042859,2
40.786105,-74.030805,2
40.786105,-74.018751,2
40.786105,-74.006698,2
40.786105,-73.994644,2
40.786105,-73.94643,2
40.786105,-73.934376,2
40.786105,-73.874108,2
40.786105,-73.825894,2
40.786105,-73.801787,2
40.786105,-73.789733,2
40.786105,-73.765626,2
40.786105,-73.753572,2
40.786105,-73.741519,2
40.786105,-73.729465,2
40.786105,-73.717411,2
40.786105,-73.705358,2
40.786105,-73.693304,2
40.786105,-73.681251,2
40.795669,-74.151341,2
40.795669,-74.139287,2
40.795669,-74.127234,2
40.795669,-74.11518,2
40.795669,-74.103127,2
40.795669,-74.091073,2
40.795669,-74.079019,2
40.795669,-74.066966,2
40.795669,-74.054912,2
40.795669,-74.042859,2
40.795669,-74.030805,2
40.795669,-74.018751,2
40.795669,-74.006698,2
40.795669,-73.994644,2
40.795669,-73.982591,2
40.795669,-73.922323,2
40.795669,-73.825894,2
40.795669,-73.789733,2
40.795669,-73.777679,2
40.795669,-73.765626,2
40.795669,-73.753572,2
